"WHD080S.Code.or.Value","WHD080S.Value.Description","WHD080S.Count","WHD080S.Cumulative","WHD080S.Skip.to.Item"
"45","Ate less sugar, candy, sweets",634,634,NA
".","Missing",5541,6175,NA
