"URDDEELC.Code.or.Value","URDDEELC.Value.Description","URDDEELC.Count","URDDEELC.Cumulative","URDDEELC.Skip.to.Item"
"0","At or above detection limit",141,141,NA
"1","Below lower detection limit",2526,2667,NA
".","Missing",92,2759,NA
