"DS1TZINC.Code.or.Value","DS1TZINC.Value.Description","DS1TZINC.Count","DS1TZINC.Cumulative","DS1TZINC.Skip.to.Item"
"0.02 to 130","Range of Values",1430,1430,NA
".","Missing",7908,9338,NA
