"LBD157LC.Code.or.Value","LBD157LC.Value.Description","LBD157LC.Count","LBD157LC.Cumulative","LBD157LC.Skip.to.Item"
"0","detectable result",49,49,NA
"1","below detectable limit",1848,1897,NA
".","Missing",377,2274,NA
