"URX1DC.Code.or.Value","URX1DC.Value.Description","URX1DC.Count","URX1DC.Cumulative","URX1DC.Skip.to.Item"
"8.9 to 14.3","Range of Values",2466,2466,NA
".","Missing",85,2551,NA
