"BMXTRI.Code.or.Value","BMXTRI.Value.Description","BMXTRI.Count","BMXTRI.Cumulative","BMXTRI.Skip.to.Item"
"3 to 41.4","Range of Values",8944,8944,NA
".","Missing",818,9762,NA
