"URXUTU.Code.or.Value","URXUTU.Value.Description","URXUTU.Count","URXUTU.Cumulative","URXUTU.Skip.to.Item"
"0.013 to 5.178","Range of Values",2372,2372,NA
".","Missing",90,2462,NA
