"AUDTYR31.Code.or.Value","AUDTYR31.Value.Description","AUDTYR31.Count","AUDTYR31.Cumulative","AUDTYR31.Skip.to.Item"
"0 to 1.78","Range of Values",1890,1890,NA
".","Missing",156,2046,NA
