"SSGIV1C2.Code.or.Value","SSGIV1C2.Value.Description","SSGIV1C2.Count","SSGIV1C2.Cumulative","SSGIV1C2.Skip.to.Item"
"0 to 100000","Range of Values",867,867,NA
".","Missing",79,946,NA
