"URXMX2.Code.or.Value","URXMX2.Value.Description","URXMX2.Count","URXMX2.Cumulative","URXMX2.Skip.to.Item"
"0.028 to 1240","Range of Values",2621,2621,NA
".","Missing",138,2759,NA
