"DRD370SQ.Code.or.Value","DRD370SQ.Value.Description","DRD370SQ.Count","DRD370SQ.Cumulative","DRD370SQ.Skip.to.Item"
"1 to 8","Range of Values",101,101,NA
".","Missing",9849,9950,NA
