"DXXSMX.Code.or.Value","DXXSMX.Value.Description","DXXSMX.Count","DXXSMX.Cumulative","DXXSMX.Skip.to.Item"
"0 to 1","Range of Values",3242,3242,NA
".","Missing",466,3708,NA
