"LBDLCCLC.Code.or.Value","LBDLCCLC.Value.Description","LBDLCCLC.Count","LBDLCCLC.Cumulative","LBDLCCLC.Skip.to.Item"
"0","At or above the detection limit",6388,6388,NA
"1","Below lower detection limit",4,6392,NA
".","Missing",1043,7435,NA
