"DXXPT31Y.Code.or.Value","DXXPT31Y.Value.Description","DXXPT31Y.Count","DXXPT31Y.Cumulative","DXXPT31Y.Skip.to.Item"
"166.1 to 400.7","Range of Values",3281,3281,NA
".","Missing",427,3708,NA
