"DS1IVC.Code.or.Value","DS1IVC.Value.Description","DS1IVC.Count","DS1IVC.Cumulative","DS1IVC.Skip.to.Item"
"0.5 to 6000","Range of Values",2176,2176,NA
".","Missing",3518,5694,NA
