"DR1IFF.Code.or.Value","DR1IFF.Value.Description","DR1IFF.Count","DR1IFF.Cumulative","DR1IFF.Skip.to.Item"
"0 to 2318","Range of Values",130698,130698,NA
".","Missing",696,131394,NA
