"LBDF09LC.Code.or.Value","LBDF09LC.Value.Description","LBDF09LC.Count","LBDF09LC.Cumulative","LBDF09LC.Skip.to.Item"
"0","At or above the detection limit",3,3,NA
"1","Below lower detection limit",243,246,NA
".","Missing",1,247,NA
