"AUXRR146.Code.or.Value","AUXRR146.Value.Description","AUXRR146.Count","AUXRR146.Cumulative","AUXRR146.Skip.to.Item"
"-7 to 33","Range of Values",1878,1878,NA
".","Missing",168,2046,NA
