"CVDWSY.Code.or.Value","CVDWSY.Value.Description","CVDWSY.Count","CVDWSY.Cumulative","CVDWSY.Skip.to.Item"
"61 to 253","Range of Values",2748,2748,NA
".","Missing",1854,4602,NA
