"URXGNS.Code.or.Value","URXGNS.Value.Description","URXGNS.Count","URXGNS.Cumulative","URXGNS.Skip.to.Item"
"0.7 to 20900","Range of Values",2528,2528,NA
".","Missing",110,2638,NA
