"URXGNS.Code.or.Value","URXGNS.Value.Description","URXGNS.Count","URXGNS.Cumulative","URXGNS.Skip.to.Item"
"0.4 to 16000","Range of Values",2792,2792,NA
".","Missing",149,2941,NA
