"TYXA141.Code.or.Value","TYXA141.Value.Description","TYXA141.Count","TYXA141.Cumulative","TYXA141.Skip.to.Item"
"0.09 to 6.375","Range of Values",3880,3880,NA
".","Missing",1705,5585,NA
