"AUDTYR12.Code.or.Value","AUDTYR12.Value.Description","AUDTYR12.Count","AUDTYR12.Cumulative","AUDTYR12.Skip.to.Item"
"0 to 1.53","Range of Values",2754,2754,NA
".","Missing",280,3034,NA
