"AUDTYL39.Code.or.Value","AUDTYL39.Value.Description","AUDTYL39.Count","AUDTYL39.Cumulative","AUDTYL39.Skip.to.Item"
"0 to 2.34","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
