"LBDSGBSI.Code.or.Value","LBDSGBSI.Value.Description","LBDSGBSI.Count","LBDSGBSI.Cumulative","LBDSGBSI.Skip.to.Item"
"17 to 74","Range of Values",6489,6489,NA
".","Missing",501,6990,NA
