"URDUCOLC.Code.or.Value","URDUCOLC.Value.Description","URDUCOLC.Count","URDUCOLC.Cumulative","URDUCOLC.Skip.to.Item"
"0","At or above the detection limit",2805,2805,NA
"1","Below lower detection limit",3,2808,NA
".","Missing",171,2979,NA
