"LBXSNASI.Code.or.Value","LBXSNASI.Value.Description","LBXSNASI.Count","LBXSNASI.Cumulative","LBXSNASI.Skip.to.Item"
"124 to 148","Range of Values",6860,6860,NA
".","Missing",509,7369,NA
