"DR1TP183.Code.or.Value","DR1TP183.Value.Description","DR1TP183.Count","DR1TP183.Cumulative","DR1TP183.Skip.to.Item"
"0 to 18.595","Range of Values",9118,9118,NA
".","Missing",644,9762,NA
