"DXXOFA.Code.or.Value","DXXOFA.Value.Description","DXXOFA.Count","DXXOFA.Cumulative","DXXOFA.Skip.to.Item"
"12.2 to 59.6","Range of Values",6517,6517,NA
".","Missing",1217,7734,NA
