"SMDUPCA.Code.or.Value","SMDUPCA.Value.Description","SMDUPCA.Count","SMDUPCA.Cumulative","SMDUPCA.Skip.to.Item"
"Cig 12-digit Universal Product Code-UPC","Value was recorded",832,832,NA
"< blank >","Missing",4579,5411,NA
