"LBDD03LC.Code.or.Value","LBDD03LC.Value.Description","LBDD03LC.Count","LBDD03LC.Cumulative","LBDD03LC.Skip.to.Item"
"0","At or above the detection limit",245,245,NA
"1","Below lower detection limit",2,247,NA
".","Missing",17,264,NA
