"DR2INIAC.Code.or.Value","DR2INIAC.Value.Description","DR2INIAC.Count","DR2INIAC.Cumulative","DR2INIAC.Skip.to.Item"
"0 to 177.84","Range of Values",128570,128570,NA
".","Missing",571,129141,NA
