"LBD170LC.Code.or.Value","LBD170LC.Value.Description","LBD170LC.Count","LBD170LC.Cumulative","LBD170LC.Skip.to.Item"
"0","At or above the detection limit",283,283,NA
"1","Below lower detection limit",0,283,NA
".","Missing",1,284,NA
