"LBDIHGSI.Code.or.Value","LBDIHGSI.Value.Description","LBDIHGSI.Count","LBDIHGSI.Cumulative","LBDIHGSI.Skip.to.Item"
"0.95 to 64.87","Range of Values",5175,5175,NA
".","Missing",757,5932,NA
