"DXXINITX.Code.or.Value","DXXINITX.Value.Description","DXXINITX.Count","DXXINITX.Cumulative","DXXINITX.Skip.to.Item"
"75.2 to 259","Range of Values",3242,3242,NA
".","Missing",466,3708,NA
