"SXQ824.Code.or.Value","SXQ824.Value.Description","SXQ824.Count","SXQ824.Cumulative","SXQ824.Skip.to.Item"
"1 to 99","Range of Values",1435,1435,NA
"100","100 or more",37,1472,NA
"77777","Refused",1,1473,NA
"99999","Don't know",10,1483,NA
".","Missing",3360,4843,NA
