"DR2_320Z.Code.or.Value","DR2_320Z.Value.Description","DR2_320Z.Count","DR2_320Z.Cumulative","DR2_320Z.Skip.to.Item"
"0 to 8887.5","Range of Values",8406,8406,NA
".","Missing",1847,10253,NA
