"DXXPT72X.Code.or.Value","DXXPT72X.Value.Description","DXXPT72X.Count","DXXPT72X.Cumulative","DXXPT72X.Skip.to.Item"
"54.1 to 700.5","Range of Values",3274,3274,NA
".","Missing",434,3708,NA
