"PFQ061D.Code.or.Value","PFQ061D.Value.Description","PFQ061D.Count","PFQ061D.Cumulative","PFQ061D.Skip.to.Item"
"1","No difficulty",1018,1018,NA
"2","Some difficulty",626,1644,NA
"3","Much difficulty",265,1909,NA
"4","Unable to do",201,2110,NA
"5","Do not do this activity",42,2152,NA
"7","Refused",0,2152,NA
"9","Don't know",1,2153,NA
".","Missing",7669,9822,NA
