"DS2IVK.Code.or.Value","DS2IVK.Value.Description","DS2IVK.Count","DS2IVK.Cumulative","DS2IVK.Skip.to.Item"
"5 to 45000","Range of Values",954,954,NA
".","Missing",4745,5699,NA
