"OHQ870.Code.or.Value","OHQ870.Value.Description","OHQ870.Count","OHQ870.Cumulative","OHQ870.Skip.to.Item"
"0 to 7","Range of Values",4827,4827,NA
"77","REFUSED",4,4831,NA
"99","DON'T KNOW",3,4834,NA
".","Missing",343,5177,NA
