"LBDGLUSI.Code.or.Value","LBDGLUSI.Value.Description","LBDGLUSI.Count","LBDGLUSI.Cumulative","LBDGLUSI.Skip.to.Item"
"2.831 to 23.37","Range of Values",3172,3172,NA
".","Missing",157,3329,NA
