"LBXTC.Code.or.Value","LBXTC.Value.Description","LBXTC.Count","LBXTC.Cumulative","LBXTC.Skip.to.Item"
"77 to 545","Range of Values",7256,7256,NA
".","Missing",765,8021,NA
