"CSXSMKOD.Code.or.Value","CSXSMKOD.Value.Description","CSXSMKOD.Count","CSXSMKOD.Cumulative","CSXSMKOD.Skip.to.Item"
"1","Garlic",124,124,NA
"2","Grass",223,347,NA
"3","Smoke",3047,3394,NA
"4","Peach",129,3523,NA
".","Missing",185,3708,NA
