"WTSPO52.Code.or.Value","WTSPO52.Value.Description","WTSPO52.Count","WTSPO52.Cumulative","WTSPO52.Skip.to.Item"
"0.0000000 to 841295.5492500","Range of Values",0,0,NA
"0","0",2274,2274,NA
".","Missing",0,2274,NA
