"FFQ0063C.Code.or.Value","FFQ0063C.Value.Description","FFQ0063C.Count","FFQ0063C.Cumulative","FFQ0063C.Skip.to.Item"
1,"Almost never or never",2903,2903,NA
2,"About 1/4 of the time",1273,4176,NA
3,"About 1/2 of the time",662,4838,NA
4,"About 3/4 of the time",318,5156,NA
5,"Almost always or always",803,5959,NA
88,"Blank",510,6469,NA
99,"Error",3,6472,NA
