"OCQ440.Code.or.Value","OCQ440.Value.Description","OCQ440.Count","OCQ440.Cumulative","OCQ440.Skip.to.Item"
"1 to 24","Range of Values",722,722,NA
"7777","Refused",1,723,NA
"9999","Don't know",4,727,NA
".","Missing",5907,6634,NA
