"WBXP017.Code.or.Value","WBXP017.Value.Description","WBXP017.Count","WBXP017.Cumulative","WBXP017.Skip.to.Item"
"-16.2815 to 157.1853","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
