"BPXSAR.Code.or.Value","BPXSAR.Value.Description","BPXSAR.Count","BPXSAR.Cumulative","BPXSAR.Skip.to.Item"
"73 to 233","Range of Values",7215,7215,NA
".","Missing",2067,9282,NA
