"CIQP21L.Code.or.Value","CIQP21L.Value.Description","CIQP21L.Count","CIQP21L.Cumulative","CIQP21L.Skip.to.Item"
"12","Fear: Flying",0,0,NA
".","Missing",850,850,NA
