"LBXTFR.Code.or.Value","LBXTFR.Value.Description","LBXTFR.Count","LBXTFR.Cumulative","LBXTFR.Skip.to.Item"
"0.9 to 54.5","Range of Values",2909,2909,NA
".","Missing",612,3521,NA
