"LBDLUZSI.Code.or.Value","LBDLUZSI.Value.Description","LBDLUZSI.Count","LBDLUZSI.Cumulative","LBDLUZSI.Skip.to.Item"
"0.044 to 1.494","Range of Values",8342,8342,NA
"0.03","Fill Value of Limit of Detection",11,8353,NA
".","Missing",909,9262,NA
