"URXTTC.Code.or.Value","URXTTC.Value.Description","URXTTC.Count","URXTTC.Cumulative","URXTTC.Skip.to.Item"
"7.9 to 1760","Range of Values",2655,2655,NA
".","Missing",324,2979,NA
