"RFXT069.Code.or.Value","RFXT069.Value.Description","RFXT069.Count","RFXT069.Cumulative","RFXT069.Skip.to.Item"
"593 to 601","Range of Values",51064,51064,NA
".","Missing",12,51076,NA
