"LBXODT.Code.or.Value","LBXODT.Value.Description","LBXODT.Count","LBXODT.Cumulative","LBXODT.Skip.to.Item"
"0.0063 to 1.7937","Range of Values",1946,1946,NA
".","Missing",391,2337,NA
