"RFXC128.Code.or.Value","RFXC128.Value.Description","RFXC128.Count","RFXC128.Cumulative","RFXC128.Skip.to.Item"
"-5.724 to 6.836","Range of Values",33681,33681,NA
".","Missing",40,33721,NA
