"MCQ040.Code.or.Value","MCQ040.Value.Description","MCQ040.Count","MCQ040.Cumulative","MCQ040.Skip.to.Item"
"1","Yes",440,440,""
"2","No",394,834,"MCQ051"
"7","Refused",0,834,"MCQ051"
"9","Don't know",1,835,"MCQ051"
".","Missing",8831,9666,""
