"DXXPT48Y.Code.or.Value","DXXPT48Y.Value.Description","DXXPT48Y.Count","DXXPT48Y.Cumulative","DXXPT48Y.Skip.to.Item"
"80.7 to 317.5","Range of Values",3298,3298,NA
".","Missing",410,3708,NA
