"WHD100M.Code.or.Value","WHD100M.Value.Description","WHD100M.Count","WHD100M.Cumulative","WHD100M.Skip.to.Item"
"22","Drank a lot of water to not gain weight",13,13,NA
".","Missing",6031,6044,NA
