"RXD331Q.Code.or.Value","RXD331Q.Value.Description","RXD331Q.Count","RXD331Q.Cumulative","RXD331Q.Skip.to.Item"
"0 to 11","Range of Values",775,775,NA
"7777","Refused",0,775,NA
"9999","Don't know",1,776,NA
".","Missing",4298,5074,NA
