"URDBPSLC.Code.or.Value","URDBPSLC.Value.Description","URDBPSLC.Count","URDBPSLC.Cumulative","URDBPSLC.Skip.to.Item"
"0","At or above the detection limit",2392,2392,NA
"1","Below lower detection limit",259,2651,NA
".","Missing",152,2803,NA
