"SSSHBG.Code.or.Value","SSSHBG.Value.Description","SSSHBG.Count","SSSHBG.Cumulative","SSSHBG.Skip.to.Item"
"9.03 to 200.6","Range of Values",520,520,NA
".","Missing",6,526,NA
