"DXXSMX.Code.or.Value","DXXSMX.Value.Description","DXXSMX.Count","DXXSMX.Cumulative","DXXSMX.Skip.to.Item"
"0 to 2","Range of Values",2995,2995,NA
".","Missing",713,3708,NA
