"DEQ6IAPO.Code.or.Value","DEQ6IAPO.Value.Description","DEQ6IAPO.Count","DEQ6IAPO.Cumulative","DEQ6IAPO.Skip.to.Item"
"1","Present",0,0,NA
".","Missing",2992,2992,NA
